Subspace,Breakdown,Ce,Insight_type,Sig,Imp,Score,Key,Value
"{Year: 2008, Brand: *, Category: *}",Brand,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.20394,0.20394,"['Volkswagen', 'Honda', 'Mazda', 'Hyundai', 'BMW', 'GMC', 'Toyota', 'Ford']","[-14718, -18538, -21657, -48715, -58248, -95201, -137584, -179363]"
"{Year: 2008, Brand: *, Category: *}",Brand,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.20394,0.20394,"['Toyota', 'Ford', 'Honda', 'Hyundai', 'GMC', 'BMW', 'Mazda', 'Volkswagen']","[624444.875, 466048.875, 456730.875, -206338.125, -229408.125, -309754.125, -345267.125, -456457.125]"
"{Year: 2008, Brand: *, Category: *}",Category,"[(SUM, Sales), (avg, Category)]",Point,1.0,0.20394,0.20394,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Sporty', 'Fullsize', 'MPV']","[691542.875, 646108.875, 426970.875, -30565.125, -309477.125, -442367.125, -445367.125, -536846.125]"
"{Year: 2008, Brand: *, Category: *}",Brand,"[(SUM, Sales), (rank, Brand)]",Point,1.0,0.20394,0.20394,"['Volkswagen', 'Mazda', 'BMW', 'GMC', 'Hyundai', 'Honda', 'Ford', 'Toyota']","[8, 7, 6, 5, 4, 3, 2, 1]"
"{Year: 2008, Brand: *, Category: *}",Category,"[(SUM, Sales), (rank, Category)]",Point,1.0,0.20394,0.20394,"['MPV', 'Fullsize', 'Sporty', 'Pickup', 'Compact', 'Subcompact', 'Midsize', 'SUV']","[8, 7, 6, 5, 4, 3, 2, 1]"
"{Year: 2008, Brand: *, Category: *}",Category,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.20394,0.20394,"['Subcompact', 'MPV', 'Fullsize', 'Sporty', 'Midsize', 'Pickup', 'Compact', 'SUV']","[40734, 8304, -30352, -50000, -52346, -52452, -63957, -373955]"
"{Year: 2008, Brand: *, Category: *}",Category,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.20394,0.20394,"['Compact', 'Fullsize', 'SUV', 'Midsize', 'Sporty', 'Pickup', 'Subcompact', 'MPV']","[4, 4, 4, 2, 2, 2, 1, 1]"
"{Year: 2008, Brand: *, Category: *}",Category,"[(SUM, Sales), (avg, Year)]",Point,0.99999,0.20394,0.20394,"['Subcompact', 'Midsize', 'Pickup', 'Sporty', 'MPV', 'Fullsize', 'Compact', 'SUV']","[151383.80000000005, 41614.0, 19085.399999999994, 9324.0, 4208.200000000001, -2872.399999999994, -15943.800000000047, -120215.80000000005]"
"{Year: 2008, Brand: *, Category: *}",Brand,"[(SUM, Sales), (%, Year)]",Point,0.99999,0.20394,0.20394,"['Honda', 'Toyota', 'Mazda', 'BMW', 'GMC', 'Ford', 'Volkswagen', 'Hyundai']","[0.2292, 0.224, 0.2098, 0.204, 0.1949, 0.1867, 0.1822, 0.1583]"
"{Year: 2008, Brand: *, Category: *}",Category,"[(SUM, Sales), (%, Year)]",Point,0.99999,0.20394,0.20394,"['MPV', 'Subcompact', 'Sporty', 'Pickup', 'Midsize', 'Fullsize', 'Compact', 'SUV']","[0.2472, 0.2363, 0.2174, 0.2166, 0.2072, 0.1951, 0.1941, 0.1825]"
"{Year: 2008, Brand: *, Category: *}",Brand,"[(SUM, Sales), (rank, Year)]",Point,0.99999,0.20394,0.20394,"['Hyundai', 'Ford', 'Volkswagen', 'GMC', 'BMW', 'Honda', 'Mazda', 'Toyota']","[5, 4, 4, 3, 2, 2, 2, 2]"
"{Year: 2011, Brand: *, Category: *}",Brand,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.20357,0.20357,"['Ford', 'Toyota', 'Honda', 'Hyundai', 'GMC', 'BMW', 'Mazda', 'Volkswagen']","[738249.875, 303112.875, 188174.875, 31718.875, -177127.125, -309920.125, -350951.125, -423258.125]"
"{Year: 2011, Brand: *, Category: *}",Brand,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.20357,0.20357,"['Ford', 'Hyundai', 'GMC', 'Volkswagen', 'BMW', 'Mazda', 'Honda', 'Toyota']","[198148.80000000005, 144031.2, 42694.20000000001, 22147.199999999997, 3707.7999999999884, 3283.2000000000116, -140283.19999999995, -195465.80000000005]"
"{Year: 2011, Brand: *, Category: *}",Category,"[(SUM, Sales), (rank, Category)]",Point,1.0,0.20357,0.20357,"['MPV', 'Sporty', 'Fullsize', 'Pickup', 'Compact', 'Subcompact', 'Midsize', 'SUV']","[8, 7, 6, 5, 4, 3, 2, 1]"
"{Year: 2011, Brand: *, Category: *}",Brand,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.20357,0.20357,"['Ford', 'Hyundai', 'GMC', 'BMW', 'Mazda', 'Volkswagen', 'Honda', 'Toyota']","[241817, 92428, 61522, 27794, 17369, 16913, -69061, -84358]"
"{Year: 2011, Brand: *, Category: *}",Brand,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.20357,0.20357,"['Honda', 'Toyota', 'BMW', 'Mazda', 'GMC', 'Ford', 'Hyundai', 'Volkswagen']","[5, 5, 3, 3, 2, 1, 1, 1]"
"{Year: 2011, Brand: *, Category: *}",Category,"[(SUM, Sales), (avg, Category)]",Point,1.0,0.20357,0.20357,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Fullsize', 'Sporty', 'MPV']","[991005.875, 599874.875, 149032.875, 35744.875, -328235.125, -436277.125, -472474.125, -538672.125]"
"{Year: 2011, Brand: *, Category: *}",Category,"[(SUM, Sales), (%, Category)]",Point,1.0,0.20357,0.20357,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Fullsize', 'Sporty', 'MPV']","[0.3471, 0.2594, 0.1584, 0.133, 0.0514, 0.0272, 0.0191, 0.0043]"
